counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
848,-634,525,10716,-15,-267,-374,392433206,30036037,500219822,1.015625,3098,-6.081818,83.081528
849,-596,539,10690,-255,-320,65,392433208,30036038,500219821,1.011719,35874,18.220798,71.757187
850,-596,539,10690,-255,-320,65,392433208,30036038,500219821,1.011719,35874,18.220798,71.757187
851,-596,539,10690,-255,-320,65,392433208,30036038,500219821,1.011719,35874,18.220798,71.757187
852,-619,564,10601,6,-309,21,392433210,30036040,500219819,1.011719,3113,-30.504972,72.080849
853,-619,564,10601,6,-309,21,392433210,30036040,500219819,1.011719,3113,-30.504972,72.080849
854,-619,564,10601,6,-309,21,392433210,30036040,500219819,1.011719,3113,-30.504972,72.080849
855,-604,588,10503,-46,-389,-152,392433212,30036042,500219818,1.015625,35908,0,91.152992
856,-604,588,10503,-46,-389,-152,392433212,30036042,500219818,1.015625,35908,0,91.152992
857,-604,588,10503,-46,-389,-152,392433212,30036042,500219818,1.015625,35908,0,91.152992
858,-599,617,10423,86,-309,-128,392433215,30036044,500219816,1.015625,3135,18.582418,73.181335
859,-599,617,10423,86,-309,-128,392433215,30036044,500219816,1.015625,3135,18.582418,73.181335
860,-599,617,10423,86,-309,-128,392433215,30036044,500219816,1.015625,3135,18.582418,73.181335
861,-570,617,10391,300,-375,5,392433217,30036046,500219814,1.019531,3133,37.049778,86.633774
862,-570,617,10391,300,-375,5,392433217,30036046,500219814,1.019531,3133,37.049778,86.633774
863,-570,617,10391,300,-375,5,392433217,30036046,500219814,1.019531,3133,37.049778,86.633774
864,-547,614,10352,293,-188,179,392433219,30036047,500219813,1.019531,3135,18.51667,86.595345
865,-547,614,10352,293,-188,179,392433219,30036047,500219813,1.019531,3135,18.51667,86.595345
866,-547,614,10352,293,-188,179,392433219,30036047,500219813,1.019531,3135,18.51667,86.595345
867,-579,609,10282,362,-288,-136,392433222,30036049,500219811,1.019531,35904,0,70.831696
868,-579,609,10282,362,-288,-136,392433222,30036049,500219811,1.019531,35904,0,70.831696
869,-579,609,10282,362,-288,-136,392433222,30036049,500219811,1.019531,35904,0,70.831696
870,-578,594,10266,204,-64,-237,392433223,30036050,500219810,1.023438,3138,14.976248,68.56366
871,-578,594,10266,204,-64,-237,392433223,30036050,500219810,1.023438,3138,14.976248,68.56366
872,-578,594,10266,204,-64,-237,392433223,30036050,500219810,1.023438,3138,14.976248,68.56366
873,-547,588,10277,4,28,55,392433225,30036052,500219808,1.023438,3143,18.582418,68.607491
874,-547,588,10277,4,28,55,392433225,30036052,500219808,1.023438,3143,18.582418,68.607491
875,-547,588,10277,4,28,55,392433225,30036052,500219808,1.023438,3143,18.582418,68.607491
876,-542,601,10259,-158,-84,177,392433227,30036054,500219807,1.027344,3148,-10.355529,73.407906
877,-542,601,10259,-158,-84,177,392433227,30036054,500219807,1.027344,3148,-10.355529,73.407906
878,-542,601,10259,-158,-84,177,392433227,30036054,500219807,1.027344,3148,-10.355529,73.407906
879,-560,617,10254,56,-271,125,392433229,30036056,500219805,1.027344,3150,-8.291728,76.533989
880,-560,617,10254,56,-271,125,392433229,30036056,500219805,1.027344,3150,-8.291728,76.533989
881,-560,617,10254,56,-271,125,392433229,30036056,500219805,1.027344,3150,-8.291728,76.533989
882,-537,609,10289,-225,-122,3,392433231,30036058,500219804,1.023438,3119,35.490284,37.600609
883,-537,609,10289,-225,-122,3,392433231,30036058,500219804,1.023438,3119,35.490284,37.600609
884,-537,609,10289,-225,-122,3,392433231,30036058,500219804,1.023438,3119,35.490284,37.600609
885,-561,621,10300,-163,-150,-238,392433233,30036061,500219801,1.023438,3120,-10.209418,79.910927
886,-561,621,10300,-163,-150,-238,392433233,30036061,500219801,1.023438,3120,-10.209418,79.910927
887,-561,621,10300,-163,-150,-238,392433233,30036061,500219801,1.023438,3120,-10.209418,79.910927
888,-553,618,10337,129,-166,-335,392433235,30036063,500219799,1.019531,3098,-10.081573,1.488873
889,-553,618,10337,129,-166,-335,392433235,30036063,500219799,1.019531,3098,-10.081573,1.488873
890,-553,618,10337,129,-166,-335,392433235,30036063,500219799,1.019531,3098,-10.081573,1.488873
891,-560,572,10389,319,-85,-282,392433236,30036065,500219798,1.019531,3104,4.060025,104.929115
892,-560,572,10389,319,-85,-282,392433236,30036065,500219798,1.019531,3104,4.060025,104.929115
893,-560,572,10389,319,-85,-282,392433236,30036065,500219798,1.019531,3104,4.060025,104.929115
894,-585,549,10407,558,-116,-1,392433239,30036068,500219797,1.023438,3117,4.070982,94.691078
895,-585,549,10407,558,-116,-1,392433239,30036068,500219797,1.023438,3117,4.070982,94.691078
896,-585,549,10407,558,-116,-1,392433239,30036068,500219797,1.023438,3117,4.070982,94.691078
897,-551,517,10435,128,-430,161,392433241,30036070,500219795,1.027344,3137,0,96.432831
898,-551,517,10435,128,-430,161,392433241,30036070,500219795,1.027344,3137,0,96.432831
899,-551,517,10435,128,-430,161,392433241,30036070,500219795,1.027344,3137,0,96.432831
900,-570,485,10458,268,-478,263,392433242,30036073,500219794,1.03125,3134,-20.368887,81.219513
901,-570,485,10458,268,-478,263,392433242,30036073,500219794,1.03125,3134,-20.368887,81.219513
902,-570,485,10458,268,-478,263,392433242,30036073,500219794,1.03125,3134,-20.368887,81.219513
903,-577,437,10491,1,-316,-84,392433244,30036075,500219792,1.023438,3123,0,68.304054
904,-577,437,10491,1,-316,-84,392433244,30036075,500219792,1.023438,3123,0,68.304054
905,-577,437,10491,1,-316,-84,392433244,30036075,500219792,1.023438,3123,0,68.304054
